Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
1303.114355,-35.2,999.0,-33.6,-34.5
1313.149771,-35.1,999.0,-33.4,-34.4
1323.169377,-35.0,999.0,-33.3,-34.3
1333.173663,-34.9,999.0,-33.2,-34.1
1343.211456,-34.8,999.0,-33.0,-33.8
1353.227215,-34.7,999.0,-32.9,-33.8
1363.263766,-34.5,999.0,-32.7,-33.7
1373.298623,-34.5,999.0,-32.6,-33.5
1383.302766,-34.4,999.0,-32.5,-33.4
1393.33793,-34.3,999.0,-32.4,-33.2
1403.342262,-34.2,999.0,-32.3,-33.0
1413.393455,-34.1,999.0,-32.1,-32.9
1423.412829,-34.1,999.0,-32.0,-32.8
1433.449648,-33.9,999.0,-31.9,-32.6
1443.484802,-33.8,999.0,-31.7,-32.5
1453.503908,-33.7,999.0,-31.6,-32.4
1463.542594,-33.6,999.0,-31.6,-32.2
1473.56683,-33.5,999.0,-31.3,-32.1
1483.592855,-33.4,999.0,-31.2,-32.0
1493.612736,-33.4,999.0,-31.1,-31.8
1503.634932,-33.3,999.0,-30.9,-31.7
1513.668529,-33.2,999.0,-30.9,-31.5
1523.673046,-33.1,999.0,-30.8,-31.4
1533.709573,-33.1,999.0,-30.6,-31.3
1543.713485,-33.0,999.0,-30.5,-31.1
1553.748605,-32.9,999.0,-30.4,-31.0
1563.767359,-32.9,999.0,-30.2,-30.9
1573.789328,-32.8,999.0,-30.0,-30.9
1583.824483,-32.7,999.0,-29.8,-30.5
1593.868114,-32.6,999.0,-29.7,-30.4
1603.892388,-32.6,999.0,-29.6,-30.3
1613.927792,-32.5,999.0,-29.5,-30.1
1623.931661,-32.4,999.0,-29.4,-30.0
1633.954061,-32.3,999.0,-29.3,-29.9
1643.973727,-32.2,999.0,-29.3,-29.8
1653.992314,-32.2,999.0,-29.2,-29.7
1664.011645,-32.1,999.0,-29.1,-29.6
1674.047788,-32.0,999.0,-28.9,-29.5
1684.052478,-32.0,999.0,-28.9,-29.4
1694.078801,-32.0,999.0,-28.8,-29.3
1704.121164,-31.9,999.0,-28.7,-29.2
1714.121467,-31.8,999.0,-28.5,-29.2
1724.161582,-31.8,999.0,-28.5,-29.0
1734.165108,-31.7,999.0,-28.4,-29.0
1744.181024,-31.4,999.0,-28.3,-28.8
1754.205355,-31.6,999.0,-28.3,-28.7
1764.224758,-31.3,999.0,-28.1,-28.5
1774.243509,-31.4,999.0,-28.0,-28.5
1784.249133,-31.2,999.0,-27.9,-28.5
1794.284782,-31.1,999.0,-27.9,-28.4
1804.315679,-31.1,999.0,-27.8,-28.2
1814.353582,-31.0,999.0,-27.7,-28.2
1824.37347,-30.9,999.0,-27.6,-28.0
1834.374094,-30.9,999.0,-27.5,-28.0
1844.413676,-30.8,999.0,-27.4,-28.0
1854.434361,-30.8,999.0,-27.3,-27.9
1864.465594,-30.7,999.0,-27.3,-27.7
1874.489775,-30.6,999.0,-27.1,-27.7
1884.524677,-30.6,999.0,-27.1,-27.6
1894.555607,-30.6,999.0,-27.0,-27.5
1904.579343,-30.5,999.0,-26.9,-27.4
1914.614143,-30.4,999.0,-27.0,-27.3
1924.646217,-30.4,999.0,-26.8,-27.3
1934.68451,-30.4,999.0,-26.8,-27.2
1944.691331,-30.3,999.0,-26.6,-27.1
1954.71982,-30.3,999.0,-26.6,-27.0
1964.760124,-30.2,999.0,-26.5,-27.0
1974.780111,-30.2,999.0,-26.5,-26.9
1984.810727,-30.1,999.0,-26.4,-26.8
1994.835635,-30.1,999.0,-26.3,-26.8
2004.87501,-30.0,999.0,-26.3,-26.7
2014.917975,-29.9,999.0,-26.1,-26.6
2024.941861,-29.9,999.0,-26.2,-26.3
2034.976411,-29.9,999.0,-26.0,-26.5
2044.99098,-29.8,999.0,-26.0,-26.4
2054.997688,-29.8,999.0,-25.9,-26.3
2065.005825,-29.7,999.0,-25.6,-26.3
2075.02215,-29.7,999.0,-25.8,-26.0
2085.046343,-29.7,999.0,-25.5,-26.0
2095.065594,-29.6,999.0,-25.4,-25.9
2105.098462,-29.5,999.0,-25.4,-25.9
2115.102589,-29.5,999.0,-25.3,-25.8
2125.136981,-29.4,999.0,-25.3,-25.7
2135.142538,-29.4,999.0,-25.2,-25.7
2145.18276,-29.3,999.0,-25.1,-25.6
2155.198357,-29.3,999.0,-25.1,-25.6
2165.21605,-29.3,999.0,-25.0,-25.5
2175.251852,-29.3,999.0,-25.0,-25.5
2185.271606,-29.2,999.0,-24.9,-25.4
2195.305977,-29.2,999.0,-24.9,-25.3
2205.325588,-29.0,999.0,-24.8,-25.3
2215.329764,-29.0,999.0,-24.7,-25.2
2225.366085,-29.0,999.0,-24.8,-25.2
2235.370773,-28.9,999.0,-24.6,-25.2
2245.405713,-28.9,999.0,-24.6,-25.1
2255.425935,-28.8,999.0,-24.5,-25.0
2265.452166,-28.9,999.0,-24.5,-25.0
2275.468044,-28.9,999.0,-24.4,-25.0
2285.515189,-28.7,999.0,-24.4,-24.9
2295.534435,-28.7,999.0,-24.3,-25.0
2305.539188,-28.6,999.0,-24.3,-24.8
2315.574099,-28.6,999.0,-24.3,-24.7
2325.594703,-28.6,999.0,-24.2,-24.7
2335.629509,-28.5,999.0,-24.2,-24.7
2345.665057,-28.5,999.0,-24.1,-24.6
2355.669296,-28.5,999.0,-24.1,-24.6
2365.704896,-28.4,999.0,-24.0,-24.5
2375.709964,-28.4,999.0,-24.0,-24.6
2385.750449,-28.4,999.0,-24.1,-24.4
2395.778374,-28.3,999.0,-23.8,-24.5
2405.81311,-28.2,999.0,-23.9,-24.4
2415.849102,-28.1,999.0,-23.7,-24.3
2425.854594,-28.1,999.0,-23.8,-24.3
2435.888667,-28.1,999.0,-23.7,-24.3
2445.908258,-28.1,999.0,-23.7,-24.3
2455.946363,-28.1,999.0,-23.7,-24.2
2465.980538,-28.0,999.0,-23.6,-24.2
2475.983694,-27.9,999.0,-23.6,-24.1
2486.019079,-27.8,999.0,-23.4,-24.0
2496.038963,-27.8,999.0,-23.5,-24.0
2506.074097,-27.8,999.0,-23.5,-24.0
2516.079109,-27.6,999.0,-23.4,-24.0
2526.098728,-27.7,999.0,-23.4,-23.9
2536.133233,-27.6,999.0,-23.2,-23.9
2546.161883,-27.5,999.0,-23.2,-23.9
2556.188461,-27.5,999.0,-23.2,-23.8
2566.208975,-27.5,999.0,-23.2,-23.7
2576.244767,-27.4,999.0,-23.1,-23.7
2586.263944,-27.3,999.0,-23.1,-23.7
2596.283139,-27.2,999.0,-23.0,-23.7
2606.319984,-27.0,999.0,-23.0,-23.7
2616.322791,-27.2,999.0,-23.0,-23.6
2626.354603,-26.9,999.0,-22.9,-23.6
2636.364111,-26.9,999.0,-22.9,-23.6
2646.397775,-26.8,999.0,-22.8,-23.4
2656.442835,-26.8,999.0,-22.8,-23.4
2666.488625,-26.8,999.0,-22.9,-23.4
2676.51966,-26.7,999.0,-22.7,-23.4
2686.546479,-26.6,999.0,-22.7,-23.4
2696.576452,-26.7,999.0,-22.5,-23.3
2706.592795,-26.6,999.0,-22.6,-23.3
2716.628802,-26.5,999.0,-22.6,-23.2
2726.664468,-26.5,999.0,-22.5,-23.2
2736.668345,-26.4,999.0,-22.5,-23.1
2746.703536,-26.4,999.0,-22.5,-23.1
2756.819232,-26.3,999.0,-22.4,-23.1
2767.025048,-26.3,999.0,-22.3,-23.1
2777.060699,-26.2,999.0,-22.4,-23.1
2787.065983,-26.1,999.0,-22.2,-23.0
2797.101024,-26.2,999.0,-22.4,-23.0
2807.152122,-26.1,999.0,-22.2,-22.9
2817.18315,-26.0,999.0,-22.2,-22.9
2827.220334,-26.0,999.0,-22.2,-22.9
2837.256541,-25.9,999.0,-22.1,-22.8
2847.260648,-26.0,999.0,-22.1,-22.8
2857.295906,-25.9,999.0,-22.1,-22.8
2867.299516,-25.9,999.0,-22.0,-22.8
2877.336542,-25.9,999.0,-22.0,-22.7
2887.355948,-25.8,999.0,-22.0,-22.7
2897.387144,-25.8,999.0,-21.9,-22.7
2907.426828,-25.8,999.0,-21.8,-22.6
2917.431803,-25.7,999.0,-21.6,-22.6
2927.466841,-25.7,999.0,-21.8,-22.5
2937.497919,-25.6,999.0,-21.8,-22.6
2947.535235,-25.6,999.0,-21.5,-22.5
2957.565285,-25.6,999.0,-21.7,-22.5
2967.592912,-25.6,999.0,-21.7,-22.4
2977.626591,-25.6,999.0,-21.7,-22.4
2987.653954,-25.5,999.0,-21.5,-22.4
2997.681356,-25.6,999.0,-21.6,-22.4
3007.702015,-25.5,999.0,-21.3,-22.3
3017.73646,-25.4,999.0,-21.4,-22.2
3027.742549,-25.4,999.0,-21.2,-22.2
3037.760255,-25.4,999.0,-21.2,-22.2
3047.796856,-25.4,999.0,-21.2,-22.2
3057.811388,-25.4,999.0,-21.1,-22.2
3067.849923,-25.3,999.0,-21.1,-22.2
3077.879846,-25.3,999.0,-21.1,-21.9
3087.911607,-25.3,999.0,-21.0,-21.9
3097.942321,-25.3,999.0,-21.0,-22.0
3107.972459,-25.3,999.0,-21.0,-21.8
3118.000204,-25.2,999.0,-20.9,-22.0
3128.001229,-25.2,999.0,-20.9,-21.9
3138.035141,-25.2,999.0,-20.8,-21.9
3148.040179,-25.2,999.0,-20.8,-21.7
3158.059919,-25.2,999.0,-20.8,-21.7
3168.09457,-25.2,999.0,-20.8,-21.6
3178.124881,-25.1,999.0,-20.7,-21.6
3188.149209,-25.2,999.0,-20.8,-21.6
3198.181626,-25.1,999.0,-20.6,-21.5
3208.222271,-25.1,999.0,-20.5,-21.5
3218.240044,-25.1,999.0,-20.5,-21.4
3228.240719,-25.0,999.0,-20.5,-21.5
3238.295091,-25.0,999.0,-20.5,-21.3
3248.299168,-25.0,999.0,-20.5,-21.3
3258.315393,-25.0,999.0,-20.4,-21.3
3268.35508,-25.0,999.0,-20.4,-21.3
3278.374561,-24.9,999.0,-20.3,-21.3
3288.409444,-24.9,999.0,-20.3,-21.3
3298.439747,-24.9,999.0,-20.3,-21.2
3308.479339,-24.9,999.0,-20.2,-21.2
